new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,0,1,0,0,100,64,4,4196.4
2,1,1,0,0,100,64,4,4200.6
2,0,1,0,1,100,64,4,4215.8
2,1,1,0,1,100,64,4,4222.6
2,1,0,0,0,100,64,4,4224.0
2,0,0,0,0,100,64,4,4224.2
2,0,0,0,1,100,64,4,4238.4
2,1,0,0,1,100,64,4,4241.4
2,1,1,0,1,80,1024,4,4271.2
2,0,1,0,1,80,512,4,4275.6
2,0,1,0,0,80,512,4,4276.6
2,0,1,0,0,80,4096,4,4277.2
2,1,1,0,1,80,4096,4,4277.8
2,0,1,0,0,80,128,4,4280.4
2,1,1,0,0,80,4096,4,4282.4
2,1,1,0,0,80,2048,4,4284.0
2,0,1,0,1,80,4096,4,4291.0
2,0,1,0,0,80,2048,4,4291.8
2,0,1,0,0,80,1024,4,4292.8
2,1,1,0,1,80,2048,4,4295.0
2,1,1,0,0,80,256,4,4295.8
2,1,1,0,1,80,512,4,4297.2
2,1,1,0,1,80,256,4,4297.6
2,1,1,0,0,90,4096,4,4297.8
2,1,1,0,0,80,1024,4,4298.0
2,0,1,0,1,80,1024,4,4298.0
2,1,1,0,0,90,1024,4,4299.2
2,0,1,0,1,90,256,4,4299.4
2,0,1,0,0,80,256,4,4300.4
2,0,1,0,1,80,2048,4,4301.2
2,0,1,0,0,90,1024,4,4302.4
2,0,1,0,1,80,128,4,4302.6
2,0,1,0,1,80,256,4,4303.8
2,0,0,0,1,80,128,4,4304.0
2,0,1,0,1,90,128,4,4304.6
2,1,1,0,0,80,128,4,4304.8
2,1,0,0,1,80,512,4,4304.8
2,1,0,0,0,80,1024,4,4305.6
2,1,1,0,0,80,512,4,4305.8
2,0,0,0,1,80,256,4,4306.0
2,0,0,0,0,80,256,4,4306.0
2,0,1,0,1,90,2048,4,4306.2
2,1,0,0,0,80,128,4,4306.6
2,0,1,0,0,90,512,4,4307.4
2,1,1,0,1,90,256,4,4307.4
2,0,1,0,1,90,512,4,4307.6
2,0,1,0,1,90,1024,4,4307.8
2,0,1,0,0,90,4096,4,4308.2
2,1,1,0,0,90,2048,4,4308.6
2,1,0,0,0,80,2048,4,4309.2
2,0,0,0,1,80,1024,4,4310.2
2,0,1,0,0,90,128,4,4310.4
2,1,1,0,1,90,128,4,4310.8
2,0,1,0,0,90,2048,4,4311.0
2,0,0,0,0,80,2048,4,4311.8
2,1,0,0,1,80,256,4,4312.8
2,0,0,0,0,80,4096,4,4315.2
2,1,0,0,0,80,256,4,4315.2
2,1,0,0,1,90,128,4,4315.4
2,1,1,0,1,90,1024,4,4315.8
2,1,0,0,1,80,1024,4,4317.0
2,0,0,0,0,80,512,4,4317.0
2,1,0,0,1,80,2048,4,4317.4
2,1,1,0,1,90,512,4,4318.0
2,1,0,0,0,90,1024,4,4318.2
2,1,1,0,1,90,2048,4,4318.6
2,1,1,0,0,90,256,4,4320.0
2,0,1,0,1,90,4096,4,4320.6
2,0,0,0,0,80,1024,4,4320.8
2,1,0,0,0,80,512,4,4321.4
2,1,0,0,0,90,2048,4,4323.0
2,0,0,0,1,90,4096,4,4323.4
2,1,0,0,1,90,2048,4,4325.0
2,1,1,0,0,90,128,4,4325.4
2,0,0,0,1,80,512,4,4325.8
2,1,1,0,1,80,128,4,4327.4
2,1,0,0,1,80,4096,4,4328.8
2,1,1,0,1,90,4096,4,4329.0
2,0,0,0,0,90,512,4,4330.6
2,1,0,0,0,90,4096,4,4331.8
2,0,1,0,0,90,256,4,4332.2
2,1,1,0,0,90,512,4,4332.2
2,0,0,0,1,80,2048,4,4332.4
2,1,0,0,0,80,4096,4,4333.8
2,0,0,0,0,80,128,4,4334.0
2,0,0,0,0,90,4096,4,4334.0
2,0,0,0,0,90,2048,4,4334.2
2,1,0,0,1,90,256,4,4335.0
2,0,0,0,1,90,128,4,4335.8
2,1,0,0,1,90,512,4,4335.8
2,1,0,0,1,90,1024,4,4337.0
2,0,0,0,1,90,1024,4,4337.8
2,1,0,0,1,90,4096,4,4338.2
2,1,0,0,1,80,128,4,4338.4
2,0,0,0,0,90,256,4,4338.8
2,0,0,0,1,90,512,4,4338.8
2,0,1,0,1,80,64,4,4339.8
2,0,1,0,1,100,1024,4,4340.2
2,0,0,0,1,80,4096,4,4341.6
2,0,1,0,0,90,64,4,4342.2
