WindowSize,CompressionLevel,Performance
14,1,1.46
14,0,1.472
13,0,1.514
13,1,1.514
15,1,1.52
11,0,1.526
11,1,1.526
12,0,1.528
15,0,1.534
12,1,1.542
23,0,1.556
24,1,1.57
23,1,1.572
24,0,1.574
22,1,1.586
16,0,1.59
22,0,1.596
21,1,1.598
16,1,1.598
21,0,1.604
19,1,1.604
17,0,1.606
17,1,1.612
19,0,1.614
18,0,1.628
20,0,1.63
18,1,1.63
20,1,1.636
10,0,1.662
10,1,1.666
14,2,1.9
13,2,1.942
15,2,1.972
12,2,1.988
11,2,1.998
16,2,2.026
23,2,2.032
24,2,2.04
22,2,2.05
21,2,2.06
20,2,2.088
18,2,2.094
19,2,2.1
17,2,2.102
10,2,2.146
14,3,2.302
13,3,2.37
15,3,2.392
12,3,2.426
11,3,2.476
24,3,2.478
23,3,2.478
22,3,2.5
16,3,2.508
21,3,2.512
20,3,2.546
19,3,2.552
18,3,2.562
17,3,2.564
10,3,2.616
24,4,2.708
23,4,2.726
22,4,2.748
21,4,2.768
16,4,2.77
19,4,2.8
20,4,2.808
18,4,2.824
15,4,2.834
17,4,2.848
14,4,2.894
13,4,2.972
12,4,3.004
10,4,3.02
11,4,3.04
10,5,3.306
10,6,3.386
11,5,3.49
11,6,3.57
12,5,3.746
12,6,3.846
13,5,4.128
13,6,4.3
14,5,4.678
14,6,4.874
10,7,4.874
11,8,5.042
10,8,5.046
15,5,5.072
11,7,5.078
12,7,5.266
15,6,5.306
12,8,5.318
16,5,5.392
13,7,5.554
13,8,5.62
16,6,5.77
17,5,5.886
14,7,5.896
14,8,6.086
