topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,1000000,1,0,1,1000,512,10000,5,0,0.0
4,1,2,1000000,10,0,1,1000,1024,10000,5,0,0.0
4,10,4,1000000,1,1,1,1000,512,10000,5,29,0.0
2,10,2,1000000,1,0,1,1000,512,10000,5,0,0.0
2,1,4,1000000,1,1,1,10,512,100,5,0,0.0
2,1,4,1000000,1,1,1,10,1024,100,5,29,0.0
4,10,4,1000000,10,0,1,1000,1024,10000,5,29,0.0
4,1,4,1000000,10,1,1,10,1024,100,5,29,0.0
2,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0
4,10,4,1000000,1,1,1000,1000,512,10000,5,29,0.0
4,1,4,1000000,1,1,1000,1000,1024,10000,5,0,1.36176146569e-06
4,1,2,1000000,10,1,1,1000,512,10000,5,0,1.36176146569e-06
4,10,4,1000000,10,0,1,10,512,100,5,0,2.72352293138e-06
4,10,4,1000000,10,0,1,1000,512,10000,5,29,2.72352293138e-06
2,10,4,1000000,1,0,1000,10,512,100,2,0,2.72352293138e-06
4,10,4,1000000,10,1,1,1000,1024,10000,5,29,2.72352293138e-06
4,1,2,1000000,10,0,1,10,1024,100,5,0,2.72352293138e-06
4,10,2,1000000,10,0,1,10,512,100,2,29,4.08528439707e-06
2,10,2,1000000,1,0,1000,10,1024,100,2,0,4.08528439707e-06
4,10,4,1000000,1,1,1,10,512,100,5,29,4.08528439707e-06
4,1,4,1000000,10,0,1,10,512,100,5,0,5.44704586276e-06
4,10,4,1000000,10,0,1000,1000,512,10000,2,0,5.44704586276e-06
4,10,4,1000000,10,1,1,10,512,100,5,0,6.80880732846e-06
4,10,2,1000000,10,0,1,10,512,100,5,29,8.17056879415e-06
4,1,4,1000000,10,1,1,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,1000000,10,0,1,10,512,100,5,29,8.17056879415e-06
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
2,1,4,1000000,1,0,1000,10,1024,100,5,0,9.53233025984e-06
2,1,2,1000000,1,0,1000,10,512,100,5,29,1.08940917255e-05
4,10,2,1000000,10,0,1000,1000,512,10000,5,0,1.36176146569e-05
4,1,4,1000000,1,0,1000,1000,1024,10000,5,29,1.36176146569e-05
4,10,4,1000000,10,0,1000,1000,512,10000,5,0,1.36176146569e-05
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,1.36176146569e-05
4,10,2,1000000,1,1,1000,1000,1024,10000,5,29,1.49793761226e-05
4,10,2,1000000,10,1,1,1000,1024,10000,2,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
4,1,2,1000000,1,1,1000,10,512,100,2,29,1.63411375883e-05
2,1,2,1000000,1,1,1000,1000,512,10000,2,29,1.63411375883e-05
4,1,2,1000000,1,1,1000,1000,1024,10000,5,29,1.7702899054e-05
4,1,4,1000000,1,1,1000,10,512,100,5,0,1.90646605197e-05
4,10,4,1000000,10,0,1,10,1024,100,5,29,1.90646605197e-05
4,10,4,1000000,10,0,1,1000,512,10000,5,0,1.90646605197e-05
4,1,2,1000000,1,1,1000,10,1024,100,2,29,2.17881834511e-05
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,2.31499449167e-05
4,10,4,1000000,10,0,1,1000,512,10000,2,0,2.31499449167e-05
2,10,4,1000000,1,0,1000,10,1024,100,5,29,2.72352293138e-05
2,1,4,1000000,1,0,1000,10,512,100,2,29,2.72352293138e-05
2,10,4,1000000,1,0,1000,10,512,100,5,29,2.99587522452e-05
2,1,4,1000000,1,0,1000,1000,1024,10000,5,29,3.26822751766e-05
4,1,2,1000000,1,0,1000,1000,512,10000,5,29,3.26822751766e-05
4,10,2,1000000,1,0,1000,1000,1024,10000,5,29,3.5405798108e-05
2,10,4,1000000,1,0,1000,10,512,100,5,0,3.9491082505e-05
4,1,2,1000000,10,1,1,10,1024,100,5,0,3.9491082505e-05
4,10,2,1000000,10,1,1000,1000,1024,10000,2,0,4.08528439707e-05
2,1,2,1000000,1,1,1000,1000,512,10000,5,29,4.08528439707e-05
2,10,2,1000000,1,1,1000,10,1024,100,2,29,4.08528439707e-05
2,1,4,1000000,1,0,1000,10,1024,100,2,0,4.22146054364e-05
2,1,2,1000000,1,0,1000,10,1024,100,5,29,4.22146054364e-05
4,1,4,1000000,10,1,1,1000,512,10000,5,0,4.35763669021e-05
2,1,2,1000000,1,0,1000,1000,512,10000,5,29,4.49381283678e-05
4,1,4,1000000,10,1,1000,1000,1024,10000,2,0,4.62998898335e-05
4,10,4,1000000,1,0,1000,10,1024,100,2,0,4.76616512992e-05
2,10,2,1000000,1,0,1000,1000,1024,10000,5,29,5.17469356963e-05
4,10,2,1000000,10,1,1000,10,512,100,2,29,5.3108697162e-05
4,10,2,1000000,10,1,1000,1000,1024,10000,2,29,5.3108697162e-05
2,1,2,1000000,1,1,1000,10,1024,100,2,0,5.3108697162e-05
4,10,2,1000000,10,0,1000,10,512,100,2,0,5.3108697162e-05
2,1,2,1000000,1,1,1000,10,1024,100,2,29,5.7193981559e-05
2,10,4,1000000,1,0,1000,1000,1024,10000,5,0,5.99175044904e-05
4,10,4,1000000,1,1,1000,1000,512,10000,2,29,6.26410274218e-05
2,10,4,1000000,1,0,1000,1000,1024,10000,5,29,6.26410274218e-05
2,10,4,1000000,1,1,1000,10,512,100,2,29,6.40027888875e-05
4,1,2,1000000,1,0,1000,10,1024,100,2,0,6.53645503532e-05
4,1,4,1000000,1,1,1000,10,512,100,2,0,6.67263118189e-05
4,10,2,1000000,1,1,1000,10,1024,100,2,29,6.80880732846e-05
2,10,2,1000000,1,1,1000,1000,512,10000,5,0,6.80880732846e-05
4,10,4,1000000,10,0,1,10,1024,100,2,29,6.80880732846e-05
2,10,4,1000000,1,1,1000,10,1024,100,5,29,7.08115962159e-05
4,10,2,1000000,10,0,1,10,1024,100,2,0,7.35351191473e-05
2,1,4,1000000,1,1,1000,10,512,100,2,29,7.62586420787e-05
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,7.62586420787e-05
4,10,2,1000000,1,0,1000,10,1024,100,2,0,8.03439264758e-05
4,10,4,1000000,10,1,1000,10,1024,100,2,0,8.03439264758e-05
4,10,4,1000000,1,1,1000,1000,1024,10000,2,0,8.17056879415e-05
2,1,4,1000000,1,1,1000,1000,1024,10000,2,0,8.85144952699e-05
2,1,4,1000000,1,0,1000,1000,1024,10000,2,0,8.85144952699e-05
4,10,4,1000000,10,0,1000,10,1024,100,2,29,8.85144952699e-05
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,8.98762567356e-05
4,10,2,1000000,10,1,1,1000,1024,10000,2,0,9.66850640641e-05
4,10,2,1000000,1,1,1000,10,512,100,2,29,9.80468255298e-05
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,0.000104855632858
2,10,2,1000000,1,0,1000,10,1024,100,2,29,0.000106217394324
4,1,2,1000000,10,1,1000,1000,512,10000,2,0,0.00010757915579
2,10,4,1000000,1,1,1000,1000,512,10000,5,29,0.000110302678721
4,10,2,1000000,1,1,1000,10,512,100,5,0,0.000114387963118
4,10,4,1000000,1,0,1000,10,512,100,2,0,0.000114387963118
4,10,4,1000000,1,0,1000,10,1024,100,5,29,0.000114387963118
4,1,4,1000000,1,1,1000,10,1024,100,5,0,0.000117111486049
2,1,4,1000000,1,1,1000,10,512,100,5,29,0.000118473247515
4,1,4,1000000,1,1,1000,10,1024,100,2,29,0.000118473247515
